folder_name_url,document_name,document_download_link,document_date,doc_submitter,folder_name,featured_information_type_url,featured_information_type,f1_url,company_name,company_name_url,commodity,year_url,year
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4255636,C20220-1 Letter to Maritimes & Northeast Pipeline Management Ltd. - Financial Regulatory Compliance Audit – Abandonment Trust Funding - A8F4F5,/REGDOCS/File/Download/4255637,2022-07-25,CER | REC,C20220 CER | REC - Maritimes & Northeast Pipeline Management Ltd. -  Financial Regulatory Compliance Audit – Abandonment Trust Funding,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/571193,Financial Regulatory Audits,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadFeatured/92842,Maritimes & Northeast Pipelines Ltd,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/92842,gas,,
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4255636,C20220-2 Maritimes & Northeast Pipeline Management Ltd. - Audit de la conformité au titre de la réglementation financière – Financement de la fiducie constituée pour la cessation d’exploitation - A8F4F4,/REGDOCS/File/Download/4255307,2022-07-25,CER | REC,C20220 CER | REC - Maritimes & Northeast Pipeline Management Ltd. -  Financial Regulatory Compliance Audit – Abandonment Trust Funding,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/571193,Financial Regulatory Audits,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadFeatured/92842,Maritimes & Northeast Pipelines Ltd,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/92842,gas,,
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/571177,A1L4K4 - Board Letter and Regulatory Audit Report 2007 to 2008,/REGDOCS/File/Download/571256,2009-09-22,NEB,09-09-22 NEB - Letter and Final Financial Regulatory Audit Report of Years 2007 to 2008 to Maritimes & Northeast Pipeline Management Ltd. (A22874),https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/571193,Financial Regulatory Audits,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadFeatured/92842,Maritimes & Northeast Pipelines Ltd,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/92842,gas,,
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/571177,A1L4K5 - Lettre de l'Office et Rapport règlementaire financier 2007 à 2008,/REGDOCS/File/Download/571178,2009-09-22,NEB,09-09-22 NEB - Letter and Final Financial Regulatory Audit Report of Years 2007 to 2008 to Maritimes & Northeast Pipeline Management Ltd. (A22874),https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/571193,Financial Regulatory Audits,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadFeatured/92842,Maritimes & Northeast Pipelines Ltd,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/92842,gas,,
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/247138,A0G1J2 - Other,/REGDOCS/File/Download/247139,2002-11-14,Ian Leadley,02-11-14 Maritimes & Northeast Pipeline re. Fuel Retainage Percentage (A04336),https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/254604,Gas Transportation Tariffs,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadFeatured/92842,Maritimes & Northeast Pipelines Ltd,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/92842,gas,,
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/247138,A0G1J3 - Other,/REGDOCS/File/Download/247142,2002-11-14,Ian Leadley,02-11-14 Maritimes & Northeast Pipeline re. Fuel Retainage Percentage (A04336),https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/254604,Gas Transportation Tariffs,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadFeatured/92842,Maritimes & Northeast Pipelines Ltd,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/92842,gas,,
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/259946,A0H1S6 - Letter,/REGDOCS/File/Download/259947,2003-02-06,Ian Leadley,03-02-06 Maritimes and Northeast Pipeline - M&NP Tolls for Test Period 2003 (A05191),https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/254604,Gas Transportation Tariffs,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadFeatured/92842,Maritimes & Northeast Pipelines Ltd,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/92842,gas,,
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/259946,A0H1S7 - Other,/REGDOCS/File/Download/259950,2003-02-06,Ian Leadley,03-02-06 Maritimes and Northeast Pipeline - M&NP Tolls for Test Period 2003 (A05191),https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/254604,Gas Transportation Tariffs,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadFeatured/92842,Maritimes & Northeast Pipelines Ltd,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/92842,gas,,
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/259946,A0H1S8 - Letter,/REGDOCS/File/Download/259953,2003-02-06,Ian Leadley,03-02-06 Maritimes and Northeast Pipeline - M&NP Tolls for Test Period 2003 (A05191),https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/254604,Gas Transportation Tariffs,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadFeatured/92842,Maritimes & Northeast Pipelines Ltd,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/92842,gas,,
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/259946,A0H1S9 - Other,/REGDOCS/File/Download/259956,2003-02-06,Ian Leadley,03-02-06 Maritimes and Northeast Pipeline - M&NP Tolls for Test Period 2003 (A05191),https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/254604,Gas Transportation Tariffs,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadFeatured/92842,Maritimes & Northeast Pipelines Ltd,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/92842,gas,,
